,img,title,link,stepbystep,cuisine,portions,time,ingredients,favourite,likes,dislikes
0,https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120214133254-120214133453-p-O-kurica-pikasso.jpg,Курица «Пикассо»,https://eda.ru/recepty/osnovnye-blyuda/kurica-pikasso-25902,1,,4,45 минут,"['{""id"": 13639, ""name"": ""Куриная грудка"", ""amount"": ""4 штуки""}', '{""id"": 15371, ""name"": ""Лук"", ""amount"": ""2 штуки""}', '{""id"": 13467, ""name"": ""Сладкий перец"", ""amount"": ""3 штуки""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""3 зубчика""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""4 штуки""}', '{""id"": 15509, ""name"": ""Овощной бульонный кубик "", ""amount"": ""1 штука""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""100 г""}', '{""id"": 15594, ""name"": ""Смесь итальянских трав"", ""amount"": ""1 столовая ложка""}', '{""id"": 13411, ""name"": ""Вода"", ""amount"": ""½ стакана""}', '{""id"": 13474, ""name"": ""Сливки"", ""amount"": ""½ стакана""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""2 столовые ложки""}', '{""id"": 13615, ""name"": ""Мускатный орех"", ""amount"": ""щепотка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""1 столовая ложка""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",16695,1264,144
1,https://img01.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/170122183544-170209213750-p-O-kurica-v-kislo-sladkom-souse-po-kitajski.jpg,Курица в кисло-сладком соусе по‑китайски,https://eda.ru/recepty/osnovnye-blyuda/kurica-v-kislo-sladkom-souse-po-kitajski-14456,0,Китайская кухня,4,30 минут,"['{""id"": 13544, ""name"": ""Куриное филе"", ""amount"": ""500 г""}', '{""id"": 13570, ""name"": ""Соевый соус"", ""amount"": ""10 столовых ложек""}', '{""id"": 13532, ""name"": ""Яблочный уксус"", ""amount"": ""40 мл""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""5 чайных ложек""}', '{""id"": 13411, ""name"": ""Вода"", ""amount"": ""½ стакана""}', '{""id"": 13520, ""name"": ""Томатная паста "", ""amount"": ""2 столовые ложки""}', '{""id"": 13467, ""name"": ""Сладкий перец"", ""amount"": ""1 штука""}', '{""id"": 13663, ""name"": ""Консервированный ананас"", ""amount"": ""1 кусок""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""2 штуки""}']",13707,1162,153
2,https://img01.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/140802212008-160519080709-p-O-azu-po-tatarski.jpg,Азу по‑татарски,https://eda.ru/recepty/osnovnye-blyuda/azu-po-tatarski-21751,1,Татарская кухня,4,,"['{""id"": 13469, ""name"": ""Говядина"", ""amount"": ""500 г""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""5 головок""}', '{""id"": 13443, ""name"": ""Соленые огурцы"", ""amount"": ""3 штуки""}', '{""id"": 13520, ""name"": ""Томатная паста "", ""amount"": ""2 столовые ложки""}', '{""id"": 13431, ""name"": ""Картофель"", ""amount"": ""1 кг""}', '{""id"": 13459, ""name"": ""Мясной бульон"", ""amount"": ""1 стакан""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""3 зубчика""}']",13425,1081,89
3,https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120424123536-140707095137-p-O-makaroni-zapechennie-s-pomidorami-pod-sirom.jpg,"Макароны, запеченные с помидорами, под сыром",https://eda.ru/recepty/osnovnye-blyuda/makaroni-zapechennie-s-pomidorami-pod-sirom-19696,0,Итальянская кухня,2,20 минут,"['{""id"": 13484, ""name"": ""Макароны"", ""amount"": ""300 г""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""1 зубчик""}', '{""id"": 13737, ""name"": ""Черный перец горошком"", ""amount"": ""10 штук""}', '{""id"": 13426, ""name"": ""Сыр"", ""amount"": ""100 г""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""1 штука""}', '{""id"": 13440, ""name"": ""Майонез"", ""amount"": ""150 г""}']",11989,850,155
4,https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131112336-140418202618-p-O-svinina-s-ovoschami-tushenaja-v-slivkah.jpg,"Свинина с овощами, тушеная в сливках",https://eda.ru/recepty/osnovnye-blyuda/svinina-s-ovoschami-tushenaja-v-slivkah-31016,0,Русская кухня,5,35 минут,"['{""id"": 13509, ""name"": ""Шампиньоны"", ""amount"": ""300 г""}', '{""id"": 14671, ""name"": ""Свиная вырезка"", ""amount"": ""400 г""}', '{""id"": 13467, ""name"": ""Сладкий перец"", ""amount"": ""100 г""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""100 г""}', '{""id"": 14008, ""name"": ""Сливки 25%-ные"", ""amount"": ""150 мл""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}', '{""id"": 13758, ""name"": ""Молотый белый перец"", ""amount"": ""по вкусу""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""100 мл""}']",9061,789,50
5,https://img05.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/151212225533-151221213208-p-O-kartofel-ajdaho.jpg,Картофель «Айдахо»,https://eda.ru/recepty/osnovnye-blyuda/kartofel-ajdaho-30625,1,Американская кухня,3,1 час,"['{""id"": 14124, ""name"": ""Молодой картофель"", ""amount"": ""10 штук""}', '{""id"": 15174, ""name"": ""Оливковое масло extra virgin"", ""amount"": ""250 мл""}', '{""id"": 13425, ""name"": ""Укроп"", ""amount"": ""1 пучок""}', '{""id"": 13424, ""name"": ""Петрушка"", ""amount"": ""1 пучок""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""3 зубчика""}', '{""id"": 16489, ""name"": ""Красный соус табаско"", ""amount"": ""1 чайная ложка""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",12003,757,60
6,https://img07.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131082748-170604150624-p-O-kartofel-zapechennij-v-mundire.jpg,"Картофель, запеченный в мундире",https://eda.ru/recepty/osnovnye-blyuda/kartofel-zapechennij-v-mundire-23962,1,Французская кухня,4,2 часа,"['{""id"": 13431, ""name"": ""Картофель"", ""amount"": ""4 штуки""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""4 зубчика""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""100 г""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""2 столовые ложки""}', '{""id"": 13464, ""name"": ""Бекон"", ""amount"": ""4 штуки""}', '{""id"": 13425, ""name"": ""Укроп"", ""amount"": ""по вкусу""}', '{""id"": 13965, ""name"": ""Твердый сыр"", ""amount"": ""200 г""}', '{""id"": 13535, ""name"": ""Зеленый лук"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 14981, ""name"": ""Свежемолотый черный перец"", ""amount"": ""по вкусу""}']",12641,723,50
7,https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120705181646-120722095435-p-O-ovoshhnoe-ragu-iz-kabachkov-s-kartofelem.jpg,Овощное рагу из кабачков с картофелем,https://eda.ru/recepty/osnovnye-blyuda/ovoshhnoe-ragu-iz-kabachkov-s-kartofelem-32616,0,,6,40 минут,"['{""id"": 13539, ""name"": ""Кабачки"", ""amount"": ""1 штука""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""1 штука""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""3 штуки""}', '{""id"": 13449, ""name"": ""Морковь"", ""amount"": ""1 штука""}', '{""id"": 13450, ""name"": ""Зеленый перец"", ""amount"": ""1 штука""}', '{""id"": 13431, ""name"": ""Картофель"", ""amount"": ""4 штуки""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""2 зубчика""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""10 г""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""5 г""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""50 мл""}']",5481,716,58
8,https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120213180745-120213180900-p-O-krevetki-v-slivochno-chesnochnom-souse.jpg,Креветки в сливочно-чесночном соусе,https://eda.ru/recepty/osnovnye-blyuda/krevetki-v-slivochno-chesnochnom-souse-18350,0,,4,35 минут,"['{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""50 г""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""2 зубчика""}', '{""id"": 13666, ""name"": ""Креветки"", ""amount"": ""800 г""}', '{""id"": 14126, ""name"": ""Рубленая петрушка"", ""amount"": ""3 столовые ложки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13474, ""name"": ""Сливки"", ""amount"": ""200 мл""}']",8212,697,60
9,https://img05.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120815023247-120821220211-p-O-ratatuj.jpg,Рататуй,https://eda.ru/recepty/osnovnye-blyuda/ratatuj-32534,1,Французская кухня,4,25 минут,"['{""id"": 13471, ""name"": ""Баклажаны"", ""amount"": ""2 штуки""}', '{""id"": 14846, ""name"": ""Желтый сладкий перец"", ""amount"": ""1 штука""}', '{""id"": 14415, ""name"": ""Красный сладкий перец"", ""amount"": ""1 штука""}', '{""id"": 13413, ""name"": ""Лук репчатый"", ""amount"": ""1 головка""}', '{""id"": 13430, ""name"": ""Чеснок"", ""amount"": ""2 зубчика""}', '{""id"": 13439, ""name"": ""Помидоры"", ""amount"": ""2 штуки""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""щепотка""}', '{""id"": 13513, ""name"": ""Оливковое масло"", ""amount"": ""50 мл""}', '{""id"": 13520, ""name"": ""Томатная паста "", ""amount"": ""½ чайной ложки""}', '{""id"": 13424, ""name"": ""Петрушка"", ""amount"": ""10 г""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13420, ""name"": ""Перец черный молотый"", ""amount"": ""по вкусу""}']",11237,622,50
