img,title,link,stepbystep,cuisine,portions,time,ingredients,favourite,likes,dislikes
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131083110-120213184523-p-O-brauni-brownie.jpg,Брауни (brownie),https://eda.ru/recepty/vypechka-deserty/brauni-brownie-20955,1,Американская кухня,6,40 минут,"['{""id"": 14797, ""name"": ""Темный шоколад"", ""amount"": ""100 г""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""180 г""}', '{""id"": 14339, ""name"": ""Коричневый сахар"", ""amount"": ""200 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""4 штуки""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""100 г""}', '{""id"": 13580, ""name"": ""Грецкие орехи"", ""amount"": ""100 г""}']",25312,2996,247
https://img01.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120131083649-170819182946-p-O-cvetaevskij-jablochnij-pirog.jpg,Цветаевский яблочный пирог,https://eda.ru/recepty/vypechka-deserty/cvetaevskij-jablochnij-pirog-15574,1,Европейская кухня,4,,"['{""id"": 13447, ""name"": ""Яблоко"", ""amount"": ""1 кг""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""2 стакана""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""1,5 банки""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""150 г""}', '{""id"": 13422, ""name"": ""Уксус"", ""amount"": ""1 чайная ложка""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""1 стакан""}', '{""id"": 13590, ""name"": ""Сода"", ""amount"": ""½ чайной ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}']",15207,1960,190
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/130813174717-151102203457-p-O-klassicheskaja-sharlotka.jpg,Классическая шарлотка,https://eda.ru/recepty/vypechka-deserty/klassicheskaja-sharlotka-21916,1,Русская кухня,12,35 минут,"['{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""1 стакан""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""5 штук""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1 стакан""}', '{""id"": 13447, ""name"": ""Яблоко"", ""amount"": ""7 штук""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""1 столовая ложка""}', '{""id"": 13590, ""name"": ""Сода"", ""amount"": ""½ чайной ложки""}']",18829,1948,223
https://img09.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/130212102403-130313131925-p-O-tonkie-blini-na-moloke.jpg,Тонкие блины на молоке,https://eda.ru/recepty/vypechka-deserty/tonkie-blini-na-moloke-16014,1,,4,40 минут,"['{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""400 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""2 столовые ложки""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""4 штуки""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""1 л""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""на кончике ножа""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""2 столовые ложки""}']",14250,1707,288
https://img03.rl0.ru/eda/c285x285i/s2.eda.ru/Photos/120214141717-160625072835-p-O-shokoladnie-maffini-s-kakao.jpg,Шоколадные маффины с какао,https://eda.ru/recepty/vypechka-deserty/shokoladnie-maffini-s-kakao-18145,0,,4,1 час,"['{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""150 мл""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""175 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""100 г""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""60 мл""}', '{""id"": 13672, ""name"": ""Разрыхлитель"", ""amount"": ""10 г""}', '{""id"": 13546, ""name"": ""Какао"", ""amount"": ""45 г""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""2 г""}']",12575,1489,253
https://img03.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131084420-171006140320-p-O-pirog-zebra.jpg,Пирог «Зебра»,https://eda.ru/recepty/vypechka-deserty/pirog-zebra-19334,1,Французская кухня,4,,"['{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""2 стакана""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""5 штук""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""200 г""}', '{""id"": 13485, ""name"": ""Сметана"", ""amount"": ""1 банка""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""2 стакана""}', '{""id"": 14096, ""name"": ""Какао-порошок"", ""amount"": ""2 столовые ложки""}', '{""id"": 15321, ""name"": ""Гашеная сода"", ""amount"": ""1 чайная ложка""}']",11852,1278,147
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120214140149-121007182350-p-O-amerikanskij-tikvennij-pirog-s-koricej.jpg,Американский тыквенный пирог с корицей,https://eda.ru/recepty/vypechka-deserty/amerikanskij-tikvennij-pirog-s-koricej-18811,1,Американская кухня,8,2 часа,"['{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""400 г""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""250 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""3 штуки""}', '{""id"": 13774, ""name"": ""Тыква"", ""amount"": ""900 г""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""200 г""}', '{""id"": 13529, ""name"": ""Сливки 30%-ные"", ""amount"": ""200 мл""}', '{""id"": 13555, ""name"": ""Корица"", ""amount"": ""по вкусу""}', '{""id"": 13671, ""name"": ""Ванилин"", ""amount"": ""по вкусу""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}']",15255,1250,154
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/150615095301-150618125006-p-O-maffiny-s-golubikoy.jpg,Маффины с голубикой и мускатным орехом,https://eda.ru/recepty/vypechka-deserty/maffiny-s-golubikoy-21506,1,Французская кухня,12,35 минут,"['{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""110 г""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""290 г""}', '{""id"": 13672, ""name"": ""Разрыхлитель"", ""amount"": ""2 чайные ложки""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""щепотка""}', '{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""250 г""}', '{""id"": 14145, ""name"": ""Голубика"", ""amount"": ""1 стакан""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 14050, ""name"": ""Ванильный экстракт"", ""amount"": ""2 чайные ложки""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""120 мл""}', '{""id"": 13615, ""name"": ""Мускатный орех"", ""amount"": ""¼ чайной ложки""}']",9952,1183,84
https://img05.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/120131090259-180124204919-p-O-blini-tonkie-na-kipjatke-i-moloke.jpg,Блины тонкие на кипятке и молоке,https://eda.ru/recepty/vypechka-deserty/blini-tonkie-na-kipjatke-i-moloke-42947,0,Русская кухня,4,15 минут,"['{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1 стакан""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""2 штуки""}', '{""id"": 13453, ""name"": ""Молоко"", ""amount"": ""1 стакан""}', '{""id"": 13421, ""name"": ""Соль"", ""amount"": ""по вкусу""}', '{""id"": 13423, ""name"": ""Растительное масло"", ""amount"": ""2 столовые ложки""}', '{""id"": 16085, ""name"": ""Кипяток"", ""amount"": ""1 стакан""}']",7924,1175,123
https://img09.rl0.ru/eda/c285x285i/s1.eda.ru/Photos/140512112357-161115201046-p-O-ovsjanoe-pechene-iz-starbucks.jpg,Овсяное печенье из Starbucks,https://eda.ru/recepty/vypechka-deserty/ovsjanoe-pechene-iz-starbucks-34999,0,Авторская кухня,12,50 минут,"['{""id"": 13410, ""name"": ""Сахар"", ""amount"": ""50 г""}', '{""id"": 13418, ""name"": ""Яйцо куриное"", ""amount"": ""1 штука""}', '{""id"": 13672, ""name"": ""Разрыхлитель"", ""amount"": ""2 г""}', '{""id"": 13458, ""name"": ""Пшеничная мука"", ""amount"": ""1 стакан""}', '{""id"": 14485, ""name"": ""Молотая корица"", ""amount"": ""5 г""}', '{""id"": 13671, ""name"": ""Ванилин"", ""amount"": ""5 г""}', '{""id"": 13806, ""name"": ""Сухофрукты"", ""amount"": ""2 столовые ложки""}', '{""id"": 13920, ""name"": ""Белый шоколад"", ""amount"": ""50 г""}', '{""id"": 13412, ""name"": ""Сливочное масло"", ""amount"": ""120 г""}', '{""id"": 20393, ""name"": ""Овсяные хлопья быстрого приготовления"", ""amount"": ""1 стакан""}']",12727,1091,85
